,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
0,2020-03-04 00:00:00,Vehicle loan or lease,Loan,Getting a loan or lease,Fraudulent loan,"This auto loan was opened on XX/XX/2020 in XXXX, NC with BB & T in my name. I have NEVER been to North Carolina and I have NEVER been a resident. I have filed a dispute twice through my credit bureaus but both times BB & T has claimed that this is an accurate loan. Which I wasn't aware of until today. I have tried to contact BB & T multiple times but I have never gotten through to a live person. I do n't drive and I have never owned a car before. I didn't have any knowledge of this account until I checked XXXXXXXX XXXX  and noticed it. I've tried twice to dispute it. Additionally I never received any bills or information about this account. This is my last resort in trying to remove this fraudulent loan off of my account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,PA,None,None,Consent provided,Web,2020-03-04 00:00:00,Closed with explanation,Yes,,3591341
1,2020-06-02 00:00:00,Vehicle loan or lease,Loan,Getting a loan or lease,Credit denial,"As stated from Capital One, XXXX XX/XX/XXXX and XXXX 2018, My wife and I went to several car dealerships to request for a car loan to get a used car. However, according to their credit requirements unfortunately my credit score was insufficient for the car loan approval at that time. It seemed as though they pulled my credit report multiple times.",None,CAPITAL ONE FINANCIAL CORPORATION,OH,430XX,None,Consent provided,Web,2020-06-02 00:00:00,Closed with explanation,Yes,,3521949
2,2020-06-03 00:00:00,Checking or savings account,Savings account,Managing an account,Banking errors,"Please see CFPB case XXXX. 

Capital One, in the letter they provided ( and attached to that case as their response ) said this : "" The funds were reversed and sent back to XXXX XXXX XXXX  on XX/XX/XXXX ''. 

XXXX XXXX XXXX  ( now XXXX XXXX  ) has not received these funds. Staff at XXXX XXXX  - and also staff at the account-holder 's business - have looked for return of my money ( {$650.00} ) and find nothing. 

Capital One needs to document - actually prove - they returned the funds, as stated in their letter. Capital One must provide electronic information, if the return was made that way, or document the paper check they sent back to XXXX XXXX. 

I've left 3 messages about this problem for the person who signed the letter ( XXXX ) from Capital One. I have received no call-backs. 

Summary : Capital One said they returned my money on XX/XX/XXXX : they did not. If they continue claim they did, then they need to prove that.",None,CAPITAL ONE FINANCIAL CORPORATION,CA,None,None,Consent provided,Web,2020-06-03 00:00:00,Closed with explanation,Yes,,3556237
3,2020-04-03 00:00:00,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with the interest rate,"To Whom It May Concern, As a borrower of Santander Consumer USA, I have reached out to the company with my concerns about the auto loan account that I have open with them. I have addressed the fact that I, as a low income borrower, was not aware of the 27.99 % APR on the auto loan, which exceeds California 's usury rate. In fact, they exceed the rate by 17 %. I've been a borrower of theirs for over two years and have not yet paid half to the principal, and have reached out to them with major issues to break down into detail about where my own money was going towards. I have politely asked for refinancing options as well, but was denied this. I have asked for Extended Payment Plan, which they had charged an additional 5 % without notifying me, and the representative over the phone never clarified to me. I have tried my best to keep up with the payments, but feel that I will need to reach out to those of higher authority to help alleviate some stress. My auto loan borrowed was initially {$12000.00} to finance for 60 months. Beginning XXXX of XXXX, I have only paid less than {$1000.00} towards principal which doesn't make any sense, for I've made payments on time prior to my recent financial struggles in the past year of XXXX. I've closed my credit accounts to pay for this auto loan that is clearly a depreciating asset, but none of my money has gone towards the principal of this car. I've kept in contact with Santander about my situation in hopes that our business could become better, but I honestly feel a deep disrespect from the lender as I've tried my best to be cordial. On XX/XX/XXXX on a Thursday evening, I've called to manage my past due balance to bring my account back to current, and was told by 2 separate representatives an amount of {$620.00} made before XX/XX/XXXX would bring my account back up to current. I was not told of any other late fees that would be charged onto my account. Today, XX/XX/XXXX, I called to confirm this amount and was actually charged an additional {$260.00} onto my account, which was only three business days, and after speaking with a representative and a Supervisior who've clarified the additional charge. I asked to be waived of these extra charges because I was not given this information, and was again denied. If there is a reason for my default, I believe that Santander is in exploit of that. I am not satisfied as a consumer and would like to report this scandal. If Santander strives to be a company of prosperity and respect, they wouldn't dig a deeper threshold for their own consumers. Files will not be included until I receive an e-mail via CFPB. Thank you for your time!",None,Santander Consumer USA Holdings Inc.,CA,959XX,None,Consent provided,Web,2020-04-03 00:00:00,Closed with explanation,Yes,,3553361
4,2020-03-03 00:00:00,Vehicle loan or lease,Loan,Getting a loan or lease,High-pressure sales tactics,"We went to Schomp Honda at XXXX XXXX XXXX XXXX CO XXXX to look at a vehicle they had posted on there website a XXXX XXXX XXXX, we test drove said vehicle and then talked to the salesman about the vehicle having no warranty he assured us that they had done a 125 point inspection and found that the head gasket had to be replaced and that there was no warranty due to that repair, but everything else had checked out ok. Within 2or 3 weeks the engine light came on, we took it in to be checked out by an outside auto shop and found out the problem was a bad engine that could not be fixed internal engine failure. {$11000.00} to replace then while they were finishing the inspection they said the 4 wheel drive system which is the  vtm was also going out along with the front and rear brakes that were so bad that we could have been in a very bad car accident, we were lucky that we took it in, and on top of that the cv joints and the struts were also shot bringing the total to about {$15000.00} dollars we contacted the dealer on XX/XX/122020 and they stated it was not there problem, they stated the car was sold as is. But what kind of a reputable dealer would put peoples lives at risk just to make money, then not even care. So the more i thought about it the more upset i got because now that they choose not to do anything about it, if i take this XXXX XXXX XXXX in to trade for another vehicle i am going to have to do the honest thing and disclose everything wrong with the vehicle and probably being stuck with about {$8000.00} worth of negative equity towards purchasing another vehicle. I then contacted the dealership again on XX/XX/2020 to try and resolve this matter by bringing back the XXXX XXXX XXXX and get my trade in money for my vehicle and my down payment money so i could look at another vehicle, again they turned me down and said they might consider taking the truck back but well below what i paid them for it and not receive any of my trade in allowance or my cash down money, stated thats not happening. This is why i am reaching out to you because they dont give a XXXX about myself or my wife just the money. This dealership should be put out of business and fined for the way they take advantage of people.",None,Arapahoe Motors,CO,None,Older American,Consent provided,Web,2020-03-03 00:00:00,Closed with explanation,Yes,,3552767
5,2020-02-03 00:00:00,Checking or savings account,Savings account,Managing an account,Banking errors,"I opened PNC Bank accounts because I was attracted to their advertising about a promotion - transferring in new money, set up direct deposit, and other requirements, then consumers will receive {$500.00} bonus. 

I fulfilled all the requirements, transferred in $ XXXX, set up $ XXXX monthly direct deposit. PNC Bank rejected to give me the {$500.00} bonus, despite the fact I spent hours on communicating with their customer service. 

I learned that other consumers had the same experience. Some of them received the bonus after contacting PNC 's customer service. That did not work for me. 

The whole customer service, and advertising department, have not met the industry standard.",None,PNC Bank N.A.,CA,940XX,None,Consent provided,Web,2020-02-03 00:00:00,Closed with explanation,Yes,,3551255
6,2020-04-03 00:00:00,Vehicle loan or lease,Loan,Struggling to pay your loan,Loan balance remaining after the vehicle is repossessed and sold,"I was always current with my payments with Santander. When I reached out to them in XXXX or XXXX of 2019 and told them that I was starting XXXX school and that I needed help with lowering the payments, they told me that my only option was to refinance the car loan, which I could not do. 

Well, I had to voluntarily give up the car. The car was sold at an auction for less than the original balance and now Santander is coming after me for {$7000.00}. This is still being reported on my credit report and it's not right. 

Not to mention, how Santander is charging the same amount of interest as the car price. For example, my car price was $ XXXX. After 72 months, my payment would be over 30k to this company. 

I don't understand how finance companies are getting away with cheating people like this.",None,Santander Consumer USA Holdings Inc.,MS,None,None,Consent provided,Web,2020-04-03 00:00:00,Closed with explanation,Yes,,3554539
7,3/16/2020,Checking or savings account,Savings account,Problem caused by your funds being low,Non-sufficient funds and associated fees,"I had a saving account with BOA since late XXXX and minimum deposit was {$300.00} to avoid any low balance fee, i have been maintaining that fee since a long time, however BOA charged me late fee of {$8.00} for low balance, i talked to customer service rep on XX/XX/XXXX at XXXX and they were unable to waive the fee They told me that we upgraded your account to Advance saving whose min balance is {$500.00}, i told them i was never notified and BOA told me it was upgraded automatically this year and all the old saving account product was disconnected I tried to explain them that its not my problem, this was an upgrade from your end and you failed to notify me that you upgrading automatically which resulted in fee charge I requested to speak to a supervisor and after waiting 1 hour on line they disconnected the call, i called back but it was like 2 hour wait time",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,070XX,Older American,Consent provided,Web,3/16/2020,Closed with monetary relief,Yes,,3568677
8,2020-06-03 00:00:00,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,I have made numerous calls to the customer service phone number and visited a branch with no resolution. I am making extra payments and they are not applying them to principle but rather putting them to future payments. The billing is then thrown off showing no payment required. I want amount in excess of monthly payment put toward principal. I have conveyed this several times to them.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CA,None,None,Consent provided,Web,2020-06-03 00:00:00,Closed with non-monetary relief,Yes,,3557498
9,5/21/2020,Vehicle loan or lease,Loan,Struggling to pay your loan,Loan balance remaining after the vehicle is repossessed and sold,"The loan was open XX/XX/XXXX with an interest rate over 20 percent it has been 6 years and the loan is up the car was sold once repossessed for about XXXX and sold and staying I owe remaining balance after reading and stating they were sued which I will attached article and they will remove and cancel and has no payments made on it since XX/XX/XXXX. This debt has harmed me. Being a single mother and trying to work isnt easy.It has aided in the denial of my home loan, which it has caused undue stress in these already stressful times and caused undue financial pressure. I also mentioned that the debt should be considered satisfied and that the trade line be deleted from all credit bureaus it is reporting to. After reading article, they should settle those accounts in thats range. 

https : XXXX",None,Santander Consumer USA Holdings Inc.,GA,30909,None,Consent provided,Web,5/21/2020,Closed with non-monetary relief,Yes,,3661703
